country,customer_id,boxes_taken,activation_channel,state,recipe_score_count,recipe_score_freq,app_uses,app_store
AU,330,150,A,C,75,0,10,google
AU,331,50,F,N,65,0,20,itunes
AU,332,40,C,C,75,0,0,
AU,333,35,C,N,45,0,20,itunes
AU,334,70,C,W,75,0.266666667,20,google
AU,335,50,G,N,60,0.333333333,0,
AU,336,65,C,C,70,0.285714286,25,itunes
AU,337,65,N/A,L,55,0,0,
AU,338,30,C,L,45,0,30,itunes
AU,339,25,C,N,70,0,0,
AU,340,20,C,L,60,0,20,itunes
AU,341,45,A,L,60,0,30,itunes
AU,342,50,C,N,45,0,35,itunes
AU,343,20,A,N,45,0,50,google
AU,344,15,C,L,60,0,40,itunes
AU,345,220,B,C,45,0.666666667,35,itunes
AU,346,60,A,N,60,0.333333333,0,
AU,347,30,B,N,70,0,35,itunes
AU,348,115,C,W,75,0,20,itunes
AU,349,25,D,L,75,0,25,itunes
AU,350,90,G,L,45,0,0,itunes
AU,351,45,C,T,45,0.111111111,35,itunes
AU,352,155,D,T,45,0.666666667,20,google
AU,353,30,F,N,55,0.272727273,0,
AU,354,20,C,L,45,0,0,
AU,355,220,A,N,60,0,30,itunes
AU,356,15,F,T,45,0.333333333,0,
AU,357,85,C,T,75,0.6,25,itunes
AU,358,15,A,N,75000,0,15,itunes
AU,359,15,C,S,75,0,25,itunes
AU,360,210,C,C,55,0,15,itunes
AU,361,115,C,N,55,0.272727273,30,itunes
AU,362,90,B,S,60,0,20,itunes
AU,363,180,F,L,75,0,45,itunes
AU,364,35,C,C,70,0.357142857,35,itunes
AU,365,15,A,C,60,0,25,itunes
AU,366,15,C,L,55,0.727272727,0,itunes
AU,367,105,F,S,60,0,20,google
AU,368,75,F,C,45,0,0,
AU,369,50,C,N,55,0,0,google
AU,370,15,C,A,60,0,20,google
AU,371,135,D,C,45,1,45,itunes
AU,372,220,C,N,75,0.6,25,itunes
AU,373,60,G,A,60,0,0,
AU,374,90,B,N,45,0.111111111,95,itunes
AU,375,20,B,T,45,0,45,google
AU,376,110,F,L,75,0,15,itunes
AU,377,180,C,S,65,0,10,itunes
AU,378,45,A,L,75,0,0,
AU,379,15,C,N,45,0.333333333,0,itunes
AU,380,90,E,N,45,0,10,itunes
AU,381,75,D,N,60,0,35,itunes
AU,382,185,C,C,50,0,20,itunes
AU,383,50,G,L,60,0,15,itunes
AU,384,40,A,W,55,0.181818182,30,itunes
AU,385,50,C,C,50,0,50,itunes
AU,386,35,F,L,60,0,0,itunes
AU,387,160,F,C,60,0,25,itunes
AU,388,55,F,L,45,0.222222222,5,itunes
AU,389,15,A,N,45,0,25,itunes
AU,390,15,C,C,45,0,5,google
AU,391,215,F,S,45,0,25,itunes
AU,392,100,A,C,75,0,20,itunes
AU,393,25,A,N,55,0.272727273,40,itunes
AU,394,175,C,N,45,0.333333333,0,
AU,395,205,C,C,75,0,0,
AU,396,25,G,W,45,0.333333333,30,itunes
AU,397,75,B,C,50,0,20,itunes
AU,398,45,F,C,45,0,10,google
AU,399,150,A,N,45,0,35,google
AU,400,25,C,L,75,0.333333333,50,itunes
AU,401,20,C,C,45,0,0,
AU,402,95,C,L,50,0,35,itunes
AU,403,255,F,A,45,0,5,itunes
AU,404,40,C,S,50,0,25,itunes
AU,405,15,C,N,75,0.333333333,25,itunes
AU,406,20,B,C,45,0,40,itunes
AU,407,110,G,C,45,0.222222222,25,google
AU,408,45,C,N,60,0,0,itunes
AU,409,60,F,L,45,0,20,itunes
AU,410,15,C,N,N/A,0,25,itunes
AU,411,140,C,L,75,0.466666667,20,itunes
